,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,90,US,1581484806,88,19.73,-155.09,68.0,5.82
1,Ponta do Sol,20,PT,1581484620,82,32.67,-17.1,60.8,4.7
2,Kapaa,75,US,1581485042,83,22.08,-159.32,71.6,11.41
3,Katobu,18,ID,1581485042,68,-4.94,122.53,87.39,2.8
4,Pevek,0,RU,1581485042,59,69.7,170.31,-6.79,4.92
5,Vaini,75,TO,1581485043,83,-21.2,-175.2,80.6,4.7
6,Castro,69,BR,1581485043,96,-24.79,-50.01,57.16,5.88
7,Butaritari,90,KI,1581485043,85,3.07,172.79,81.79,16.87
8,Kavieng,100,PG,1581484940,79,-2.57,150.8,82.56,18.57
9,Faanui,28,PF,1581485044,78,-16.48,-151.75,82.2,13.33
10,Palmares do Sul,0,BR,1581485044,79,-30.26,-50.51,67.69,7.27
11,Airai,100,TL,1581485044,81,-8.93,125.41,76.19,1.81
12,Calama,84,CL,1581485045,50,-22.47,-68.93,57.2,5.82
13,Cockburn Town,0,TC,1581485045,77,21.46,-71.14,77.85,20.76
14,Rikitea,100,PF,1581485045,79,-23.12,-134.97,79.14,20.47
15,Eyl,63,SO,1581485045,74,7.98,49.82,77.56,19.53
16,Bara,38,NG,1581485046,37,10.37,10.73,56.57,7.72
17,George Town,40,MY,1581485046,62,5.41,100.34,89.6,5.82
18,Montevideo,0,UY,1581484826,68,-34.83,-56.17,66.2,11.41
19,San Clemente,1,US,1581484977,70,33.43,-117.61,57.2,4.7
20,Punta Arenas,40,CL,1581485047,81,-53.15,-70.92,46.4,6.93
21,Busselton,100,AU,1581484770,26,-33.65,115.33,93.99,15.66
22,Aksarayskiy,0,RU,1581485048,85,46.79,48.01,21.2,8.95
23,Port Alfred,10,ZA,1581484671,89,-33.59,26.89,66.99,4.0
24,Te Anau,100,NZ,1581485048,52,-45.42,167.72,62.74,8.52
25,Ulundi,98,ZA,1581485048,94,-28.34,31.42,63.81,2.77
26,Flinders,90,AU,1581485049,100,-34.58,150.86,78.01,11.41
